,reviews,dates,names
0,"""AIA with his Vitality program is such a good value for money. The cashback on the gym membership paid off the insurance policy within a few months..""",2024-05-28,William (NSW)
1,"""Purchased a policy via a broker 22 years ago, never submitted a claim Never had loyality discounts/ bonuses no interest in discussing needs/ no customer service ' Stepped ' policy - 90% premium hike in 3 years? I am changing an insurer.""",2024-05-22,Vlad (VIC)
2,"""Seamless experience setting up my Life Cover and TPD with AIA + Vitality through Insurance Watch. I compared the quotes online and clicked all the way through to buying the policy. Was followed up immediately for any missing information and policy was set up within 3 days, amazing!.""",2024-05-22,KIN (VIC)
3,"""Policy has just sat there. I've never made a claim so unsure of how I would rate them. So far so good. Price seems reasonable. I tried to add income protection but the online process was unclear, it seemed like I was risking losing the existing covers so I didn't proceed..""",2024-05-09,Trent (NSW)
4,"""They seem to be okay but we haven't made a claim.""",2024-04-29,Karlie (QLD)
5,"""AIA offers a lot of rewards for being healthy, both physically and mentally. this is a great plus. Reward program like no other in the market.""",2024-04-29,Andrew (NSW)
6,"""Unprofessional. Customers be aware that your income protection policy is not increased with CPI. You can only earn what you were earning at the time of claim. Five years later, I still survive on what I was earning five years ago. When I received a CPI increase CUC reduced this amount from my payment so I was no better off. Disgusting Money Grabbing behaviour from a disgusting organisation.""",2024-04-23,Robin (SA)
7,"""They have been easy to deal with and I haven't had any issues with them..""",2024-04-06,Gavin (VIC)
8,"""Could only get via broker, long delay to change or update policy.""",2024-03-21,Mitchell (QLD)
9,"""I am overall happy with my insurer, I would recommend them given they were the cheapest at the time for my circumstances.""",2024-03-02,Dave (VIC)
10,"""The overall process is fast and easy. The reason I chose AIA is that they are worldwide large organisation and the Vitality programme is really worth it if you are an active workout person. It will provide you more value especially you need to travel oversea at least once a year..""",2024-01-03,Toshihiko (VIC)
11,"""I like the AIA Vitality add-on and would certainly recommend others to get a quote from them..""",2023-12-05,Mariano (NSW)
12,"""Competitive price in the market and easy application process for SMSF Super fund members.""",2023-09-19,Vikram (NSW)
13,"""Very low contact, I like the AIA Vitality component that is signed up for separately..""",2023-07-28,Hayden (NSW)
14,"""I've had sufficient communication and no cause for concern with AIA.""",2023-07-28,Matthew (VIC)
15,"""AIA are quite difficult to communicate with. I wanted to cancel one component of my insurance and had to go through a financial adviser to do so. It is also becoming quite expensive to maintain my insurance..""",2023-07-15,Russell (WA)
16,"""Affordable, easy and convenient to apply and avail. The team was knowledgeable and knew their products..""",2023-06-06,Danish (NSW)
17,"""Insurance transferred from comm insurance but they did not provide AIA vitality benifits which is dissappointing..""",2023-04-02,Ram (NSW)
18,"""So far I liked this insurar and have no issues..""",2023-04-01,Rushabh (NSW)
19,"""Fortunately have not had the need to claim, but the application process was quick and easy. The policy coverage is quite good and offers buyback between policies if claimed..""",2023-02-26,Henry (VIC)
20,"""Trauma insurance had removed any mental health concerns but IP is currently paying for IP. Application was very comprehensive but understand why. They are happy, so far, to work with my existing medical professonals which is great. Also took part in a couple of AIA programs which were also very helpful. Beyond Pain great to understand my ongoinf chronic pain issues..""",2023-02-24,Sallie (QLD)
21,"""We have been with this insurer for over 10 years. We have not had to claim. Like everything at this time, it would be better if it was cheaper, but we want the insurance so pay what we have to..""",2023-02-20,Nicole (VIC)
22,"""The benefits from AIA is good like the vitality program but value for money isnt that great..""",2023-02-13,Jean (NSW)
23,"""Friendly and helpful staff, unfortunately no office in out states so need to do everything through email and phone.""",2023-02-12,Juanita (SA)
24,"""My experience has been fairly hands-off over the last 10 years. My cover is within my superannuation and just going along..""",2023-02-10,Karl (QLD)
25,"""I would advise using any other provider other than AIA as paying annual bills is almost impossible. They do not send invoices in a timely fashion and when you try contact them their resposnses are poor and unhelpful. After 10 emails and the submission multple direct debit authority forms I am still waiting for my premium payment to be processed. If they can't arrange to take your policy payment what hope have you got that AIA will actually process a claim. They are ill prepared to answer inquiries I asked 3 months before my anniversary date as to what my policy payment amount would be for the following year and they did not know. Further, they could not give me a billing date and they never sent an invoice prior to the bill due date. All this was after I had a direct debit in place and the funds available for payment a day before my policy anniversary date as I had no clear idea of when the policy payment was due having received no answer from them by phone or email.. Please take your money and seek insurance help elsewhere and if everyone does this then hopefully AIA will be out of business or at least wise up to the fact that some basic level of customer service is required. The web page is practically useless one should be able to login and see all one's policy details, get tax records, see invoices etc whenever one wants to! AIA makes AMP look good and that is some achievement..""",2023-01-31,DANIEL (WA)
26,"""I havent had a lot of communication with AIA Life but so far the process has been easy.""",2023-01-03,Anita (TAS)
27,"""I have really had no contact with my insurer except to have yearly premiums increase each year . I have no reason to like or dislike my insurance company.""",2023-01-03,Susan (NSW)
28,"""Easy to apply and reasonable price. I have never had to claim, and fingers crossed I never will.""",2022-12-14,Morgan (QLD)
29,"""Policy was setup from superannuation - australian retirement trust (used to be sunsuper) - quoting and transaction was smooth with easy to understand interface..""",2022-12-12,Felix (NSW)
30,"""They are ok but I never here from them. I'm not sure if my premium has gone up or not.""",2022-10-01,Taylor (NT)
31,"""Great communication when I went on maternity leave they notified me with plenty of notice when it would be on hold and then resume. It's so easy because it's done through superannuation.""",2022-09-11,Lauren (WA)
32,"""I have purchased the life insurance for my husband more than 10 years ago thru Insurancewatch. Sadly, my husband passed away a month tomorrow and I contacted AIA and insurance watch to apply for a claim to help me pay for funeral expenses. Donna from Insurance watch and the AIA team were so compassionate of my needs at this difficult time and sent me all the documents required for the claim. Within a week of sending the documents to Donna, I received the funds in the bank and this helped me enormously the burden of the funeral expenses and other associated costs. Thank you Donna & AIA team for your efficiency and support during this difficult time. Your time is very much appreciated. I know my husband is watching over us and would be so grateful of your help as well..""",2022-07-27,Marilyn (QLD)
33,"""Absolutely disgraceful customer service I cancelled in 2012 because of terrible service and now in 2022 have ended back here due to the Comminsure transition and 10 years on it is no better. Poor communication archaic systems and poor customer service philosophy's. I have been chasing for the past week either a policy document, certificate of currency or a breakdown on this policy for superannuation purposes Iâve spoken to 3 people, waited for hours on phones to get someone to send me this information on email I've waited over a week and they send me the wrong one?? the one they said they couldnât send??? Until after June 30 2022? They also have to send out paper renewals and have no way of making it electronic WOW this is 2022. Imagine if you had to make a claim I think I will be looking to move again..""",2022-04-27,Kevin (WA)
34,"""These were the ones recommended to us by our broker. Seemed easy enough to get the policies. Was affordable, compared to most and seems to cover all grounds..""",2022-03-26,Jerilee (WA)
35,"""The application process is very easy and convenient. The price and benefits are competitive..""",2022-03-25,Prashantchandra (VIC)
36,"""The coverage of the insurance is pretty competitive as compared to others..""",2022-03-25,Aisah (VIC)
37,"""Poor communication in relation to processes around life insurance. I would not recommend them..""",2022-03-23,Jeremy (VIC)
38,"""Good customer service, have been with them for a long time now and they are good..""",2022-03-23,Chris (NSW)
39,"""The AiIA Call centre wait times are way too long..""",2022-03-23,Shui (VIC)
40,"""Went with them from advice from financial advisor however premiums have increased by over $600 per year the past 2 years so now looking elsewhere..""",2021-12-08,Daniel (VIC)
41,"""I held a Life and TPD policy with AIA and unfortunately had to make a claim on the TPD cover. The claims process was easy although my broker Insurance Watch helped immensely with this. Although the claim took just over a year to finalise, I do understand that this was likely due to the nature of my injury (psychiatric) and the need for it to be stable and stationary before assessment. Once the assessment took place, AIA was quite quick to respond and accept the claim. Payment was made within a day or so. Overall, I consider AIA was very good to deal with through the claims process and was very fair in assessing the claim. I did feel that they were here to help me, rather than find a way to deny a valid claim (which had been a concern I had at the start given an experience I had with a different insurer and a different type of claim)..""",2021-11-03,Sharon (QLD)
42,"""Like - it is globally recognised - offers voucher annually to encourage check-ups Dislikes - Nothing really but I am yet to claim from them (touchwood!).""",2021-10-29,SinChoo (NSW)
