,Unnamed: 0,reviews,dates,names,Positive,Negative,Neutral,Compound,Sentiment
0,0,"""AIA with his Vitality program is such a good value for money. The cashback on the gym membership paid off the insurance policy within a few months..""",2024-05-28,William (NSW),0.257,0.0,0.743,0.765,Positive
1,1,"""Purchased a policy via a broker 22 years ago, never submitted a claim Never had loyality discounts/ bonuses no interest in discussing needs/ no customer service ' Stepped ' policy - 90% premium hike in 3 years? I am changing an insurer.""",2024-05-22,Vlad (VIC),0.161,0.107,0.732,0.4939,Positive
2,2,"""Seamless experience setting up my Life Cover and TPD with AIA + Vitality through Insurance Watch. I compared the quotes online and clicked all the way through to buying the policy. Was followed up immediately for any missing information and policy was set up within 3 days, amazing!.""",2024-05-22,KIN (VIC),0.054,0.046,0.9,0.1007,Positive
3,3,"""Policy has just sat there. I've never made a claim so unsure of how I would rate them. So far so good. Price seems reasonable. I tried to add income protection but the online process was unclear, it seemed like I was risking losing the existing covers so I didn't proceed..""",2024-05-09,Trent (NSW),0.102,0.189,0.709,-0.5957,Negative
4,4,"""They seem to be okay but we haven't made a claim.""",2024-04-29,Karlie (QLD),0.139,0.0,0.861,0.1154,Positive
5,5,"""AIA offers a lot of rewards for being healthy, both physically and mentally. this is a great plus. Reward program like no other in the market.""",2024-04-29,Andrew (NSW),0.444,0.061,0.496,0.9313,Positive
6,6,"""Unprofessional. Customers be aware that your income protection policy is not increased with CPI. You can only earn what you were earning at the time of claim. Five years later, I still survive on what I was earning five years ago. When I received a CPI increase CUC reduced this amount from my payment so I was no better off. Disgusting Money Grabbing behaviour from a disgusting organisation.""",2024-04-23,Robin (SA),0.075,0.153,0.772,-0.6837,Negative
7,7,"""They have been easy to deal with and I haven't had any issues with them..""",2024-04-06,Gavin (VIC),0.182,0.0,0.818,0.4404,Positive
8,8,"""Could only get via broker, long delay to change or update policy.""",2024-03-21,Mitchell (QLD),0.0,0.173,0.827,-0.3182,Negative
9,9,"""I am overall happy with my insurer, I would recommend them given they were the cheapest at the time for my circumstances.""",2024-03-02,Dave (VIC),0.246,0.0,0.754,0.7351,Positive
10,10,"""The overall process is fast and easy. The reason I chose AIA is that they are worldwide large organisation and the Vitality programme is really worth it if you are an active workout person. It will provide you more value especially you need to travel oversea at least once a year..""",2024-01-03,Toshihiko (VIC),0.225,0.0,0.775,0.8953,Positive
11,11,"""I like the AIA Vitality add-on and would certainly recommend others to get a quote from them..""",2023-12-05,Mariano (NSW),0.447,0.0,0.553,0.8271,Positive
